hosptals,2020_resp_total number of testes patients,2020_resp_number of patients_E. coli,2020_resp_isolation rate_E. coli,2020_resp_number of patients_K. pneumoniae,2020_resp_isolation rate_K. pneumoniae,2020_resp_number of patients_3GCRKP,2020_resp_isolation rate_3GCRKP,2020_resp_number of patients_3GCREC,2020_resp_isolation rate_3GCREC,2020_urine_total number of tested patients,2020_urine_number of patients_E. coli,2020_urine_isolation rate_E. coli,2020_urine_number of patients_K. pneumoniae,2020_urine_isolation rate_K. pneumoniae,2020_urine_number of patients_3GCRKP,2020_urine_isolation rate_3GCRKP,2020_urine_number of patients_3GCREC,2020_urine_isolation rate_3GCREC,2020_blood_total number of tested patients,2020_blood_number of patients_E. coli,2020_blood_isolation rate_E. coli,2020_blood_number of patients_K. pneumoniae,2020_blood_isolation rate_K. pneumoniae,2020_blood_number of patients_3GCRKP,2020_blood_isolation rate_3GCRKP,2020_blood_number of patients_3GCREC,2020_blood_isolation rate_3GCREC,2020_stool_total number of tested patients,2020_stool_number of patients_E. coli,2020_stool_isolation rate_E. coli,2020_stool_number of patients_K. pneumoniae,2020_stool_isolation rate_K. pneumoniae,2020_stool_number of patients_3GCRKP,2020_stool_isolation rate_3GCRKP,2020_stool_number of patients_3GCREC,2020_stool_isolation rate_3GCREC
233,238,9,0.0378,13,0.0546,3,0.0126,2,0.0084,194,40,0.2062,9,0.0464,2,0.0103,11,0.0567,441,22,0.0499,11,0.0249,3,0.0068,9,0.0204,79,54,0.6835,10,0.1266,0,0,3,0.038
234,257,11,0.0428,25,0.0973,1,0.0039,4,0.0156,123,35,0.2846,11,0.0894,0,0,7,0.0569,298,9,0.0302,7,0.0235,1,0.0034,1,0.0034,116,19,0.1638,7,0.0603,0,0,5,0.0431
235,149,11,0.0738,13,0.0872,0,0,2,0.0134,131,31,0.2366,8,0.0611,2,0.0153,9,0.0687,155,5,0.0323,4,0.0258,0,0,2,0.0129,42,24,0.5714,4,0.0952,0,0,1,0.0238
236,195,7,0.0359,13,0.0667,0,0,1,0.0051,150,51,0.34,10,0.0667,0,0,15,0.1,145,2,0.0138,0,0,0,0,0,0,77,19,0.2468,12,0.1558,1,0.013,1,0.013
237,364,17,0.0467,32,0.0879,0,0,3,0.0082,258,41,0.1589,5,0.0194,0,0,14,0.0543,375,7,0.0187,7,0.0187,0,0,2,0.0053,197,2,0.0102,0,0,0,0,0,0
238,114,5,0.0439,9,0.0789,1,0.0088,3,0.0263,116,34,0.2931,7,0.0603,1,0.0086,10,0.0862,295,6,0.0203,6,0.0203,0,0,4,0.0136,140,62,0.4429,12,0.0857,0,0,1,0.0071
239,311,22,0.0707,50,0.1608,4,0.0129,9,0.0289,139,37,0.2662,16,0.1151,2,0.0144,14,0.1007,157,17,0.1083,7,0.0446,2,0.0127,6,0.0382,13,1,0.0769,0,0,0,0,0,0
240,364,13,0.0357,31,0.0852,1,0.0027,1,0.0027,561,146,0.2602,28,0.0499,1,0.0018,35,0.0624,663,51,0.0769,9,0.0136,0,0,15,0.0226,14,4,0.2857,4,0.2857,0,0,2,0.1429
241,319,14,0.0439,20,0.0627,3,0.0094,3,0.0094,156,41,0.2628,11,0.0705,1,0.0064,8,0.0513,397,7,0.0176,1,0.0025,0,0,2,0.005,108,37,0.3426,0,0,0,0,1,0.0093
242,26,2,0.0769,2,0.0769,0,0,0,0,32,6,0.1875,3,0.0938,0,0,4,0.125,66,3,0.0455,1,0.0152,0,0,0,0,26,1,0.0385,4,0.1538,0,0,0,0
243,32,6,0.1875,2,0.0625,0,0,4,0.125,34,6,0.1765,5,0.1471,0,0,3,0.0882,56,5,0.0893,1,0.0179,0,0,2,0.0357,20,3,0.15,0,0,0,0,0,0
244,230,6,0.0261,7,0.0304,0,0,1,0.0043,170,35,0.2059,7,0.0412,0,0,3,0.0176,334,7,0.021,2,0.006,0,0,2,0.006,79,1,0.0127,0,0,0,0,0,0
245,52,6,0.1154,18,0.3462,9,0.1731,1,0.0192,73,18,0.2466,9,0.1233,5,0.0685,2,0.0274,87,6,0.069,2,0.023,0,0,1,0.0115,14,0,0,0,0,0,0,0,0
246,106,10,0.0943,15,0.1415,0,0,1,0.0094,123,40,0.3252,10,0.0813,0,0,11,0.0894,227,5,0.022,5,0.022,0,0,2,0.0088,41,19,0.4634,17,0.4146,0,0,0,0
247,89,6,0.0674,4,0.0449,0,0,2,0.0225,126,23,0.1825,4,0.0317,0,0,7,0.0556,183,7,0.0383,1,0.0055,0,0,1,0.0055,123,0,0,0,0,0,0,0,0
248,73,4,0.0548,8,0.1096,2,0.0274,1,0.0137,47,8,0.1702,5,0.1064,0,0,4,0.0851,44,1,0.0227,0,0,0,0,1,0.0227,44,0,0,0,0,0,0,0,0
249,61,11,0.1803,23,0.377,3,0.0492,2,0.0328,47,16,0.3404,6,0.1277,1,0.0213,3,0.0638,88,7,0.0795,0,0,0,0,5,0.0568,74,1,0.0135,1,0.0135,0,0,0,0
250,207,9,0.0435,6,0.029,2,0.0097,6,0.029,142,23,0.162,7,0.0493,1,0.007,7,0.0493,296,13,0.0439,3,0.0101,0,0,4,0.0135,31,1,0.0323,0,0,0,0,0,0
251,204,8,0.0392,15,0.0735,2,0.0098,1,0.0049,75,18,0.24,8,0.1067,2,0.0267,3,0.04,153,2,0.0131,3,0.0196,0,0,0,0,51,17,0.3333,1,0.0196,1,0.0196,2,0.0392
252,116,2,0.0172,12,0.1034,2,0.0172,1,0.0086,125,30,0.24,11,0.088,0,0,4,0.032,220,5,0.0227,4,0.0182,0,0,2,0.0091,312,8,0.0256,1,0.0032,1,0.0032,8,0.0256
253,114,7,0.0614,10,0.0877,0,0,2,0.0175,134,34,0.2537,7,0.0522,0,0,11,0.0821,159,8,0.0503,3,0.0189,0,0,1,0.0063,77,0,0,0,0,0,0,0,0
254,85,3,0.0353,4,0.0471,0,0,2,0.0235,83,18,0.2169,4,0.0482,0,0,8,0.0964,181,5,0.0276,5,0.0276,0,0,0,0,72,2,0.0278,0,0,0,0,1,0.0139
255,462,15,0.0325,10,0.0216,1,0.0022,6,0.013,409,68,0.1663,10,0.0244,2,0.0049,14,0.0342,592,12,0.0203,4,0.0068,0,0,4,0.0068,17,14,0.8235,4,0.2353,0,0,0,0
256,574,8,0.0139,5,0.0087,0,0,3,0.0052,249,35,0.1406,5,0.0201,0,0,7,0.0281,463,7,0.0151,8,0.0173,1,0.0022,2,0.0043,57,0,0,0,0,0,0,0,0
257,304,5,0.0164,15,0.0493,6,0.0197,1,0.0033,171,35,0.2047,14,0.0819,5,0.0292,10,0.0585,362,13,0.0359,10,0.0276,2,0.0055,4,0.011,18,1,0.0556,0,0,0,0,0,0
258,71,0,0,3,0.0423,0,0,0,0,67,21,0.3134,3,0.0448,0,0,0,0,137,8,0.0584,6,0.0438,0,0,0,0,128,0,0,0,0,0,0,0,0
259,155,4,0.0258,6,0.0387,0,0,2,0.0129,180,38,0.2111,8,0.0444,1,0.0056,11,0.0611,265,10,0.0377,4,0.0151,0,0,1,0.0038,39,8,0.2051,1,0.0256,1,0.0256,8,0.2051
260,79,6,0.0759,6,0.0759,1,0.0127,5,0.0633,105,32,0.3048,12,0.1143,2,0.019,9,0.0857,226,6,0.0265,7,0.031,1,0.0044,1,0.0044,10,5,0.5,2,0.2,0,0,1,0.1
261,627,20,0.0319,27,0.0431,1,0.0016,3,0.0048,482,51,0.1058,18,0.0373,2,0.0041,18,0.0373,463,9,0.0194,3,0.0065,1,0.0022,1,0.0022,24,2,0.0833,5,0.2083,0,0,0,0
262,197,7,0.0355,12,0.0609,3,0.0152,5,0.0254,120,16,0.1333,14,0.1167,11,0.0917,11,0.0917,33,3,0.0909,0,0,0,0,3,0.0909,52,1,0.0192,0,0,0,0,0,0
263,64,5,0.0781,6,0.0938,0,0,1,0.0156,53,12,0.2264,6,0.1132,0,0,3,0.0566,92,3,0.0326,2,0.0217,0,0,1,0.0109,46,0,0,0,0,0,0,0,0
264,64,3,0.0469,13,0.2031,0,0,0,0,63,24,0.381,10,0.1587,0,0,0,0,94,5,0.0532,1,0.0106,0,0,0,0,13,0,0,0,0,0,0,0,0
265,178,9,0.0506,11,0.0618,0,0,5,0.0281,274,45,0.1642,16,0.0584,0,0,7,0.0255,341,8,0.0235,3,0.0088,1,0.0029,1,0.0029,414,3,0.0072,2,0.0048,0,0,0,0
266,283,12,0.0424,16,0.0565,2,0.0071,2,0.0071,255,60,0.2353,11,0.0431,1,0.0039,12,0.0471,464,18,0.0388,5,0.0108,0,0,4,0.0086,49,0,0,1,0.0204,0,0,0,0
267,219,15,0.0685,17,0.0776,1,0.0046,9,0.0411,175,26,0.1486,7,0.04,2,0.0114,9,0.0514,201,4,0.0199,0,0,0,0,3,0.0149,230,74,0.3217,26,0.113,4,0.0174,15,0.0652
268,656,19,0.029,27,0.0412,3,0.0046,10,0.0152,314,70,0.2229,19,0.0605,2,0.0064,21,0.0669,425,28,0.0659,7,0.0165,0,0,3,0.0071,117,7,0.0598,0,0,0,0,1,0.0085
269,479,18,0.0376,29,0.0605,3,0.0063,8,0.0167,80,14,0.175,3,0.0375,0,0,6,0.075,134,5,0.0373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
270,712,27,0.0379,34,0.0478,6,0.0084,6,0.0084,414,72,0.1739,29,0.07,6,0.0145,18,0.0435,639,16,0.025,9,0.0141,0,0,2,0.0031,25,1,0.04,4,0.16,4,0.16,1,0.04
271,317,17,0.0536,26,0.082,3,0.0095,4,0.0126,209,32,0.1531,12,0.0574,5,0.0239,8,0.0383,376,7,0.0186,6,0.016,1,0.0027,1,0.0027,51,0,0,0,0,0,0,0,0
272,10,3,0.3,1,0.1,0,0,1,0.1,13,3,0.2308,0,0,0,0,1,0.0769,12,1,0.0833,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
273,487,10,0.0205,28,0.0575,8,0.0164,2,0.0041,214,31,0.1449,14,0.0654,6,0.028,18,0.0841,114,3,0.0263,0,0,0,0,2,0.0175,3,1,0.3333,0,0,0,0,0,0
274,157,3,0.0191,6,0.0382,1,0.0064,2,0.0127,94,31,0.3298,4,0.0426,0,0,7,0.0745,130,4,0.0308,3,0.0231,0,0,1,0.0077,6,0,0,0,0,0,0,0,0
275,383,3,0.0078,1,0.0026,0,0,1,0.0026,37,8,0.2162,2,0.0541,1,0.027,6,0.1622,62,1,0.0161,1,0.0161,0,0,1,0.0161,123,7,0.0569,0,0,0,0,1,0.0081
276,240,17,0.0708,39,0.1625,21,0.0875,12,0.05,116,33,0.2845,21,0.181,14,0.1207,25,0.2155,2,0,0,1,0.5,0,0,0,0,36,4,0.1111,1,0.0278,1,0.0278,4,0.1111
277,62,3,0.0484,8,0.129,1,0.0161,1,0.0161,127,20,0.1575,3,0.0236,0,0,5,0.0394,107,2,0.0187,1,0.0093,0,0,0,0,36,0,0,0,0,0,0,0,0
278,507,16,0.0316,23,0.0454,4,0.0079,6,0.0118,276,50,0.1812,25,0.0906,4,0.0145,11,0.0399,345,26,0.0754,8,0.0232,0,0,3,0.0087,71,0,0,0,0,0,0,0,0
279,392,19,0.0485,20,0.051,2,0.0051,2,0.0051,440,62,0.1409,17,0.0386,1,0.0023,16,0.0364,612,12,0.0196,4,0.0065,1,0.0016,4,0.0065,27,0,0,0,0,0,0,0,0
280,262,1,0.0038,11,0.042,3,0.0115,1,0.0038,236,43,0.1822,11,0.0466,4,0.0169,11,0.0466,308,7,0.0227,7,0.0227,1,0.0032,2,0.0065,32,0,0,0,0,0,0,0,0
281,388,15,0.0387,22,0.0567,2,0.0052,2,0.0052,178,36,0.2022,13,0.073,3,0.0169,14,0.0787,429,13,0.0303,7,0.0163,2,0.0047,3,0.007,64,0,0,0,0,0,0,0,0
282,101,5,0.0495,10,0.099,0,0,2,0.0198,110,29,0.2636,12,0.1091,3,0.0273,8,0.0727,116,9,0.0776,1,0.0086,0,0,4,0.0345,25,0,0,0,0,0,0,0,0
283,201,11,0.0547,30,0.1493,1,0.005,1,0.005,221,44,0.1991,15,0.0679,1,0.0045,9,0.0407,264,8,0.0303,10,0.0379,0,0,1,0.0038,168,20,0.119,9,0.0536,1,0.006,4,0.0238
284,121,7,0.0579,8,0.0661,0,0,4,0.0331,124,28,0.2258,5,0.0403,0,0,8,0.0645,132,3,0.0227,2,0.0152,0,0,2,0.0152,1047,8,0.0076,2,0.0019,0,0,0,0
285,275,2,0.0073,2,0.0073,0,0,1,0.0036,163,59,0.362,24,0.1472,9,0.0552,26,0.1595,49,2,0.0408,0,0,0,0,1,0.0204,24,0,0,1,0.0417,0,0,0,0
286,436,28,0.0642,54,0.1239,2,0.0046,5,0.0115,250,49,0.196,7,0.028,0,0,14,0.056,448,9,0.0201,3,0.0067,0,0,4,0.0089,25,2,0.08,0,0,0,0,2,0.08
287,235,23,0.0979,18,0.0766,4,0.017,3,0.0128,139,42,0.3022,11,0.0791,4,0.0288,7,0.0504,293,18,0.0614,9,0.0307,2,0.0068,6,0.0205,5,0,0,0,0,0,0,0,0
288,138,5,0.0362,25,0.1812,0,0,2,0.0145,138,46,0.3333,17,0.1232,3,0.0217,16,0.1159,172,10,0.0581,1,0.0058,0,0,3,0.0174,513,0,0,0,0,0,0,0,0
289,75,2,0.0267,4,0.0533,2,0.0267,1,0.0133,66,17,0.2576,4,0.0606,0,0,6,0.0909,89,4,0.0449,3,0.0337,0,0,1,0.0112,105,0,0,0,0,0,0,0,0
290,136,2,0.0147,14,0.1029,4,0.0294,0,0,62,16,0.2581,6,0.0968,3,0.0484,14,0.2258,24,0,0,1,0.0417,0,0,0,0,26,0,0,0,0,0,0,0,0
291,135,3,0.0222,0,0,0,0,1,0.0074,160,36,0.225,8,0.05,5,0.0313,1,0.0063,157,3,0.0191,2,0.0127,2,0.0127,0,0,68,0,0,0,0,0,0,0,0
292,7,0,0,0,0,0,0,0,0,6,2,0.3333,2,0.3333,0,0,1,0.1667,365,9,0.0247,6,0.0164,1,0.0027,3,0.0082,2,0,0,0,0,0,0,0,0
293,463,13,0.0281,17,0.0367,0,0,1,0.0022,415,42,0.1012,18,0.0434,0,0,12,0.0289,100,2,0.02,1,0.01,0,0,0,0,10,3,0.3,0,0,0,0,0,0
294,44,1,0.0227,8,0.1818,0,0,0,0,74,16,0.2162,9,0.1216,3,0.0405,3,0.0405,190,0,0,5,0.0263,0,0,0,0,20,0,0,0,0,0,0,0,0
295,82,0,0,4,0.0488,0,0,0,0,119,2,0.0168,5,0.042,0,0,2,0.0168,13,0,0,0,0,0,0,0,0,73,0,0,1,0.0137,0,0,0,0
296,96,4,0.0417,3,0.0313,0,0,3,0.0313,27,7,0.2593,2,0.0741,0,0,5,0.1852,81,3,0.037,1,0.0123,1,0.0123,1,0.0123,77,0,0,0,0,0,0,0,0
297,94,7,0.0745,17,0.1809,3,0.0319,0,0,40,17,0.425,8,0.2,2,0.05,6,0.15,65,6,0.0923,0,0,0,0,3,0.0462,59,3,0.0508,0,0,0,0,0,0
298,122,13,0.1066,6,0.0492,5,0.041,8,0.0656,161,55,0.3416,16,0.0994,9,0.0559,30,0.1863,453,13,0.0287,5,0.011,1,0.0022,1,0.0022,322,143,0.4441,2,0.0062,0,0,11,0.0342
299,355,10,0.0282,22,0.062,0,0,3,0.0085,333,42,0.1261,17,0.0511,1,0.003,10,0.03,297,6,0.0202,9,0.0303,1,0.0034,1,0.0034,14,2,0.1429,0,0,0,0,1,0.0714
300,324,10,0.0309,30,0.0926,3,0.0093,4,0.0123,225,36,0.16,21,0.0933,7,0.0311,13,0.0578,130,5,0.0385,3,0.0231,0,0,2,0.0154,30,3,0.1,0,0,0,0,0,0
301,102,5,0.049,8,0.0784,0,0,1,0.0098,82,21,0.2561,12,0.1463,2,0.0244,10,0.122,338,12,0.0355,3,0.0089,0,0,4,0.0118,21,0,0,0,0,0,0,0,0
302,267,19,0.0712,18,0.0674,0,0,12,0.0449,272,91,0.3346,10,0.0368,0,0,29,0.1066,28,2,0.0714,1,0.0357,0,0,1,0.0357,9,6,0.6667,0,0,0,0,0,0
303,22,0,0,2,0.0909,0,0,0,0,48,19,0.3958,7,0.1458,0,0,6,0.125,123,9,0.0732,5,0.0407,1,0.0081,2,0.0163,7,0,0,0,0,0,0,0,0
304,76,7,0.0921,7,0.0921,1,0.0132,1,0.0132,65,17,0.2615,9,0.1385,1,0.0154,6,0.0923,93,5,0.0538,1,0.0108,0,0,2,0.0215,318,5,0.0157,0,0,0,0,1,0.0031
305,111,8,0.0721,17,0.1532,0,0,2,0.018,144,32,0.2222,9,0.0625,0,0,7,0.0486,96,7,0.0729,2,0.0208,0,0,2,0.0208,180,33,0.1833,7,0.0389,7,0.0389,32,0.1778
306,70,4,0.0571,4,0.0571,0,0,1,0.0143,79,28,0.3544,4,0.0506,1,0.0127,8,0.1013,31,1,0.0323,0,0,0,0,0,0,674,98,0.1454,18,0.0267,0,0,11,0.0163
307,120,11,0.0917,11,0.0917,0,0,3,0.025,42,14,0.3333,2,0.0476,1,0.0238,9,0.2143,314,16,0.051,4,0.0127,0,0,2,0.0064,70,1,0.0143,0,0,0,0,0,0
308,605,12,0.0198,25,0.0413,2,0.0033,5,0.0083,258,50,0.1938,20,0.0775,6,0.0233,11,0.0426,55,2,0.0364,0,0,0,0,1,0.0182,99,1,0.0101,1,0.0101,0,0,0,0
309,267,25,0.0936,29,0.1086,14,0.0524,17,0.0637,238,70,0.2941,19,0.0798,11,0.0462,41,0.1723,641,29,0.0452,10,0.0156,0,0,0,0,54,1,0.0185,0,0,0,0,0,0
310,210,20,0.0952,37,0.1762,0,0,0,0,428,121,0.2827,24,0.0561,0,0,2,0.0047,122,5,0.041,1,0.0082,0,0,2,0.0164,56,1,0.0179,0,0,0,0,0,0
311,157,7,0.0446,9,0.0573,0,0,2,0.0127,140,32,0.2286,10,0.0714,2,0.0143,8,0.0571,277,7,0.0253,7,0.0253,0,0,2,0.0072,45,1,0.0222,0,0,0,0,0,0
312,160,11,0.0688,14,0.0875,0,0,0,0,168,42,0.25,15,0.0893,0,0,8,0.0476,253,12,0.0474,3,0.0119,0,0,3,0.0119,38,1,0.0263,0,0,0,0,0,0
313,105,5,0.0476,12,0.1143,0,0,2,0.019,68,12,0.1765,6,0.0882,0,0,3,0.0441,167,19,0.1138,4,0.024,0,0,5,0.0299,20,9,0.45,0,0,0,0,3,0.15
314,113,10,0.0885,11,0.0973,1,0.0088,5,0.0442,184,60,0.3261,12,0.0652,2,0.0109,21,0.1141,99,4,0.0404,1,0.0101,0,0,1,0.0101,71,0,0,0,0,0,0,0,0
315,154,9,0.0584,7,0.0455,0,0,3,0.0195,88,26,0.2955,6,0.0682,0,0,11,0.125,101,11,0.1089,2,0.0198,0,0,2,0.0198,19,0,0,0,0,0,0,0,0
316,86,3,0.0349,4,0.0465,0,0,0,0,122,43,0.3525,8,0.0656,0,0,10,0.082,122,6,0.0492,2,0.0164,0,0,1,0.0082,145,9,0.0621,2,0.0138,2,0.0138,4,0.0276
317,99,5,0.0505,8,0.0808,0,0,2,0.0202,79,24,0.3038,2,0.0253,0,0,9,0.1139,265,7,0.0264,8,0.0302,0,0,1,0.0038,164,49,0.2988,18,0.1098,0,0,2,0.0122
318,294,6,0.0204,21,0.0714,2,0.0068,1,0.0034,165,42,0.2545,10,0.0606,0,0,9,0.0545,57,0,0,2,0.0351,0,0,0,0,99,57,0.5758,17,0.1717,0,0,5,0.0505
319,220,7,0.0318,3,0.0136,2,0.0091,4,0.0182,51,11,0.2157,4,0.0784,3,0.0588,5,0.098,131,0,0,2,0.0153,1,0.0076,0,0,21,12,0.5714,6,0.2857,0,0,0,0
320,249,3,0.012,11,0.0442,0,0,2,0.008,103,24,0.233,8,0.0777,0,0,6,0.0583,301,13,0.0432,2,0.0066,0,0,5,0.0166,25,10,0.4,6,0.24,0,0,1,0.04
321,499,18,0.0361,14,0.0281,1,0.002,7,0.014,180,42,0.2333,6,0.0333,1,0.0056,11,0.0611,169,4,0.0237,7,0.0414,1,0.0059,2,0.0118,104,0,0,0,0,0,0,0,0
322,184,17,0.0924,24,0.1304,1,0.0054,9,0.0489,148,41,0.277,14,0.0946,0,0,14,0.0946,198,13,0.0657,3,0.0152,0,0,6,0.0303,130,16,0.1231,1,0.0077,0,0,5,0.0385
323,111,12,0.1081,25,0.2252,0,0,3,0.027,33,7,0.2121,1,0.0303,0,0,5,0.1515,137,11,0.0803,0,0,0,0,7,0.0511,120,13,0.1083,9,0.075,0,0,2,0.0167
324,156,19,0.1218,23,0.1474,1,0.0064,9,0.0577,110,38,0.3455,6,0.0545,0,0,13,0.1182,280,9,0.0321,2,0.0071,0,0,3,0.0107,34,10,0.2941,0,0,0,0,5,0.1471
325,198,13,0.0657,11,0.0556,0,0,4,0.0202,206,38,0.1845,9,0.0437,1,0.0049,7,0.034,241,3,0.0124,0,0,0,0,0,0,74,17,0.2297,5,0.0676,0,0,8,0.1081
326,238,4,0.0168,10,0.042,1,0.0042,1,0.0042,115,34,0.2957,4,0.0348,0,0,4,0.0348,323,5,0.0155,3,0.0093,0,0,0,0,68,0,0,0,0,0,0,0,0
327,230,4,0.0174,8,0.0348,0,0,2,0.0087,233,39,0.1674,5,0.0215,0,0,9,0.0386,212,9,0.0425,0,0,0,0,2,0.0094,16,0,0,0,0,0,0,0,0
328,196,3,0.0153,0,0,0,0,1,0.0051,107,30,0.2804,0,0,0,0,5,0.0467,324,13,0.0401,6,0.0185,1,0.0031,5,0.0154,7,0,0,0,0,0,0,0,0
329,194,19,0.0979,10,0.0515,0,0,6,0.0309,209,53,0.2536,8,0.0383,1,0.0048,15,0.0718,416,28,0.0673,18,0.0433,0,0,3,0.0072,15,2,0.1333,0,0,0,0,0,0
330,277,12,0.0433,24,0.0866,2,0.0072,3,0.0108,207,63,0.3043,14,0.0676,3,0.0145,15,0.0725,77,4,0.0519,0,0,0,0,1,0.013,19,0,0,0,0,0,0,0,0
331,114,2,0.0175,4,0.0351,0,0,1,0.0088,39,10,0.2564,4,0.1026,0,0,2,0.0513,58,2,0.0345,0,0,0,0,1,0.0172,44,15,0.3409,2,0.0455,0,0,0,0
332,109,7,0.0642,9,0.0826,0,0,3,0.0275,87,24,0.2759,3,0.0345,1,0.0115,6,0.069,2,1,0.5,0,0,0,0,1,0.5,230,29,0.1261,7,0.0304,2,0.0087,7,0.0304
333,49,12,0.2449,5,0.102,0,0,6,0.1224,52,23,0.4423,9,0.1731,2,0.0385,12,0.2308,68,6,0.0882,2,0.0294,0,0,0,0,38,1,0.0263,0,0,0,0,0,0
334,41,5,0.122,6,0.1463,0,0,0,0,58,16,0.2759,4,0.069,1,0.0172,3,0.0517,61,2,0.0328,1,0.0164,0,0,0,0,23,15,0.6522,3,0.1304,0,0,0,0
335,57,2,0.0351,5,0.0877,0,0,0,0,59,19,0.322,5,0.0847,0,0,0,0,98,5,0.051,2,0.0204,0,0,1,0.0102,35,11,0.3143,7,0.2,0,0,0,0
336,72,5,0.0694,10,0.1389,3,0.0417,1,0.0139,77,24,0.3117,7,0.0909,1,0.013,6,0.0779,322,10,0.0311,1,0.0031,0,0,5,0.0155,90,5,0.0556,2,0.0222,1,0.0111,4,0.0444
337,229,8,0.0349,8,0.0349,1,0.0044,5,0.0218,159,33,0.2075,12,0.0755,3,0.0189,11,0.0692,284,5,0.0176,1,0.0035,0,0,1,0.0035,62,6,0.0968,0,0,0,0,1,0.0161
338,241,12,0.0498,0,0,0,0,2,0.0083,183,48,0.2623,0,0,0,0,13,0.071,157,7,0.0446,3,0.0191,0,0,0,0,67,24,0.3582,26,0.3881,0,0,3,0.0448
339,194,5,0.0258,23,0.1186,1,0.0052,1,0.0052,92,17,0.1848,6,0.0652,0,0,0,0,58,1,0.0172,0,0,0,0,0,0,140,66,0.4714,21,0.15,0,0,0,0
340,230,8,0.0348,14,0.0609,0,0,0,0,62,20,0.3226,4,0.0645,0,0,0,0,452,5,0.0111,1,0.0022,0,0,2,0.0044,87,40,0.4598,13,0.1494,2,0.023,7,0.0805
341,391,16,0.0409,19,0.0486,1,0.0026,2,0.0051,207,34,0.1643,17,0.0821,3,0.0145,12,0.058,317,12,0.0379,0,0,0,0,8,0.0252,266,27,0.1015,1,0.0038,1,0.0038,9,0.0338
342,289,14,0.0484,0,0,0,0,2,0.0069,228,63,0.2763,0,0,0,0,18,0.0789,206,4,0.0194,7,0.034,3,0.0146,0,0,19,0,0,0,0,0,0,0,0
343,151,6,0.0397,14,0.0927,0,0,3,0.0199,93,19,0.2043,9,0.0968,1,0.0108,6,0.0645,776,35,0.0451,9,0.0116,0,0,10,0.0129,5,2,0.4,2,0.4,0,0,1,0.2
344,328,15,0.0457,24,0.0732,1,0.003,4,0.0122,501,115,0.2295,36,0.0719,3,0.006,47,0.0938,274,10,0.0365,0,0,0,0,2,0.0073,84,4,0.0476,0,0,0,0,2,0.0238
345,267,3,0.0112,8,0.03,0,0,0,0,201,31,0.1542,7,0.0348,1,0.005,11,0.0547,756,35,0.0463,14,0.0185,2,0.0026,9,0.0119,36,7,0.1944,2,0.0556,0,0,1,0.0278
346,393,9,0.0229,30,0.0763,5,0.0127,3,0.0076,414,104,0.2512,24,0.058,3,0.0072,28,0.0676,68,6,0.0882,1,0.0147,0,0,0,0,27,24,0.8889,0,0,0,0,0,0
347,47,6,0.1277,10,0.2128,1,0.0213,3,0.0638,39,15,0.3846,4,0.1026,0,0,5,0.1282,77,2,0.026,2,0.026,0,0,2,0.026,30,0,0,1,0.0333,0,0,0,0
348,205,11,0.0537,21,0.1024,0,0,4,0.0195,87,11,0.1264,7,0.0805,0,0,5,0.0575,144,8,0.0556,6,0.0417,2,0.0139,3,0.0208,45,20,0.4444,6,0.1333,0,0,5,0.1111
349,104,9,0.0865,8,0.0769,0,0,4,0.0385,103,28,0.2718,7,0.068,1,0.0097,10,0.0971,121,1,0.0083,2,0.0165,0,0,1,0.0083,1,0,0,0,0,0,0,0,0
350,42,3,0.0714,4,0.0952,0,0,0,0,69,18,0.2609,7,0.1014,1,0.0145,3,0.0435,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
351,5,0,0,3,0.6,0,0,0,0,3,1,0.3333,0,0,0,0,0,0,220,6,0.0273,3,0.0136,1,0.0045,2,0.0091,11,9,0.8182,0,0,0,0,0,0
352,225,6,0.0267,12,0.0533,1,0.0044,2,0.0089,144,32,0.2222,7,0.0486,1,0.0069,6,0.0417,304,10,0.0329,2,0.0066,0,0,0,0,31,4,0.129,0,0,0,0,1,0.0323
353,324,6,0.0185,24,0.0741,0,0,0,0,215,32,0.1488,11,0.0512,0,0,0,0,152,4,0.0263,3,0.0197,0,0,3,0.0197,55,17,0.3091,2,0.0364,1,0.0182,0,0
354,126,6,0.0476,8,0.0635,0,0,4,0.0317,123,26,0.2114,8,0.065,1,0.0081,8,0.065,14,0,0,1,0.0714,0,0,0,0,5,0,0,0,0,0,0,0,0
355,16,1,0.0625,1,0.0625,0,0,1,0.0625,27,10,0.3704,2,0.0741,0,0,2,0.0741,33,2,0.0606,2,0.0606,0,0,0,0,16,6,0.375,6,0.375,0,0,2,0.125
356,40,4,0.1,7,0.175,0,0,0,0,45,17,0.3778,6,0.1333,0,0,0,0,37,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
357,125,2,0.016,12,0.096,0,0,0,0,75,8,0.1067,4,0.0533,0,0,2,0.0267,61,1,0.0164,0,0,0,0,0,0,21,14,0.6667,6,0.2857,0,0,3,0.1429
358,113,5,0.0442,7,0.0619,1,0.0088,0,0,103,33,0.3204,5,0.0485,0,0,13,0.1262,353,7,0.0198,8,0.0227,0,0,2,0.0057,11,4,0.3636,5,0.4545,0,0,0,0
